date,brent_usd,fx_eurusd,ipc_tot,ipc_h_tabac,ipc_h_tabA,ipc_inf_sj,conso_elek_bt,conso_elek_mt,ipc_alim_01,ipc_elekt_0451,ipc_nrj_045,ipc_loyers_0411,ind_IBTG_01.0,i_esm_Commerce,i_esm_Construction,i_esm_HôtellerieRestauration,i_esm_Industrie,i_esm_Secteurmarchand,i_esm_Services,NBR_SAL,EFF_SAL_ETP,HEURES,MSALB,CH_PAT,CH_SAL,CST,Défense,Civils,Total
2004-03-31,31.9333333333333,1.2507,86.1,87.6,88.8,,60792,53046,71.7109,99.87503,96.40021,95.29708,82.50406,115.1,135.86667,111.93333,105.26667,119.46667,126.06667,62487.215314927,54553.2968684559,27658521.5138443,40483823190.6691,9888661029.3114,3702573512.2611,609736881.148401,2345,9409,11754
2004-06-30,35.2666666666667,1.20433333333333,86.2,87.8,89,,60585,51982,72.50366,99.87503,95.89893,95.30343,83.41108,116.06667,135.33333,113.66667,105.7,120.23333,127.06667,63668.6956817698,55659.3000471813,28219265.1225235,41560922712.4108,10093987842.0381,3796417700.67472,628552919.680261,2345,9409,11754
2004-09-30,41.5333333333333,1.222,86.3,87.8,89,,55063,47695,72.83731,99.87503,95.64829,95.45919,85.21463,116.33333,128.03333,113.96667,105.93333,119.23333,126.16667,62900.1031921115,55037.7732837029,27904151.0544551,41420595843.4861,9998475406.6134,3762459101.9327,628646434.880778,2345,9409,11754
2004-12-31,44.1,1.2963,86.5,88.1,89.2,,59724,54288,73.45462,99.87503,95.64829,95.8955,85.61378,116.86667,123.4,115.3,107.33333,118.96667,126.06667,62863.4066165777,55080.5898975887,27925859.0797068,41923091084.9381,10179437418.626,3865868591.97918,638938981.025042,2345,9409,11754
2005-03-31,47.7333333333333,1.31113333333333,86.3,88.1,89.3,,64267,55486,73.62844,92.43101,91.88613,96.23754,86.58914,116.93333,123.93333,115.9,108.13333,119.66667,126.96667,63741.4000169736,56075.9875055699,28430525.6641773,42665588286.1466,10491076562.8824,3951714454.20152,655183768.964028,2432,9432,11864
2005-06-30,51.7666666666667,1.2599,86.5,88,89.2,,62515,50945,73.8222,88.709,90.00504,96.13491,86.66421,118.1,129,114.6,108.7,120.83333,128.53333,64181.0117836705,56590.252998993,28691258.2689275,43176062905.0318,10610580962.7299,4014125377.93658,660984066.758159,2432,9432,11864
2005-09-30,61.5666666666667,1.2195,87.5,88.8,89.4,,58576,50115,74.47388,88.709,91.42112,96.74496,87.83861,118.86667,133.33333,114.46667,109,122.36667,130.53333,64968.8030372326,57155.372626945,28977773.9218639,43799613069.8843,10770568687.9829,4084919619.84746,671205891.458511,2432,9432,11864
2005-12-31,57.0333333333333,1.18856666666667,88.2,89.6,90.4,,65422,57455,75.56094,90.47431,95.24294,98.49765,88.22606,119.86667,138.43333,115.93333,108.63333,123.83333,132.03333,65437.4206976166,57464.6824757267,29134594.0157335,44509092878.6972,10888117781.4529,4164373747.93455,688482165.509951,2432,9432,11864
2006-03-31,61.8333333333333,1.20203333333333,88.5,90.2,90.8,,65738,54819,76.36992,90.47431,95.49375,99.17136,89.20831,120.43333,137.66667,119.5,107.16667,125.03333,134.33333,66079.135525993,57982.0218549636,29396885.0806059,45503766225.3445,10202425956.8679,3870587069.99582,710744246.64248,2455,9351,11806
2006-06-30,69.5333333333333,1.25636666666667,89.1,90.3,91,,66370,54202,76.68266,90.47431,95.99536,99.50852,89.41921,121.1,135.73333,123.53333,106.6,126.1,135.96667,66511.8670935601,58419.2987928299,29618584.4873465,46338304890.9275,10338850236.2334,3936933345.57177,730179067.610932,2455,9351,11806
2006-09-30,69.6333333333334,1.27406666666667,90.2,91.6,91.7,,61837,50913,77.62852,90.47431,100.86232,99.57819,89.70869,121.2,136.46667,125.73333,106.7,126.76667,136.5,66896.6711097368,58644.5148867026,29732769.0475164,47001077544.9698,10449798925.6552,3999511581.23231,746687966.096392,2455,9351,11806
2006-12-31,59.9666666666667,1.29016666666667,90.3,91.5,92,93.3,64956,58263,78.11015,90.47431,100.86232,100.40656,89.8371,121.3,137.66667,126.76667,108.4,127.63333,137.76667,67481.8946374815,59190.5273373037,30009597.3609776,47410162845.4755,10645877777.7862,4080598333.83983,749700174.310483,2455,9351,11806
2007-03-31,57.9333333333333,1.3105,90.5,91.9,92.3,93.4,68872,58318,78.6813,90.47431,98.02123,102.86885,90.94054,121.9,140.86667,127.16667,109.3,128.83333,138.96667,67994.0210679352,59458.3593430392,30145388.1887047,47896200218.7227,10684012518.5239,4162847416.21597,763776515.814414,2485,9503,11988
2007-06-30,68.6333333333333,1.3482,91.1,92.2,92.6,93.5,68992,55486,79.24361,90.47431,96.68776,104.01228,91.34139,122.36667,140.4,126.16667,109.46667,129.36667,140.63333,68219.316900423,59825.6901672142,30331624.9136984,48635552034.973,10809871558.0381,4237961588.51795,783549393.398836,2485,9503,11988
2007-09-30,74.8666666666667,1.37446666666667,91.6,92.9,92.6,93.5,65058,53801,79.73853,90.47431,96.51958,104.07467,91.4231,123.03333,143.83333,126.66667,110.56667,130.23333,141.06667,68991.4370275687,60352.4288377235,30598681.4227798,49487678842.1849,10949346182.8322,4321060433.44382,804675623.810163,2485,9503,11988
