DATE,ID_PROD,DATA_TYPE,DTI,DTE,M_B,X_B,M_S,X_S,TVA,RS_S11,RS_S13,CS_S11,CS_S13,CCF_S13,VA_NM,VA_M,P,ATSLP,SSLP,VA,CI,FBCF_S14,FBCF_S11,FBCF_S13,FBCF,VS,CF,CF_S13,CI_S13,CI_S11,P_S11,CF_S14,PIB_E,PIB_R
2005-03-31,000,N,7092.12019597124,401.850998750159,36039.5162481542,4131.64469951966,13032.7767461201,24749.0056513905,9653.0949205654,28999.7163616993,27098.9375957713,6902.01713716366,4258.54932290107,8453.65527280096,39811.1421914733,83828.5729802689,205751.12701511,1145.47185653422,-529.962200025975,123639.715171742,82111.4118433682,3922.02412131204,15702.8076730568,8641.94268515419,28266.774479523,1383.08594455369,131944.073162825,44106.1515473246,4295.00935585133,77816.4024875169,161644.975467785,87837.9216155004,141402.290943538,141402.290943537
2005-06-30,000,N,7495.37629358213,439.535284932873,39114.6667887822,6066.00613779737,11669.6367339544,22741.4468170983,10071.4228816629,30253.7666374305,26622.5578592719,7146.7149558369,4514.07666181976,8445.20516368058,39581.8396847723,79221.1133632492,212449.924838176,1124.60190477082,-965.453095502606,118802.953048021,93646.9717901543,4771.90293420011,16812.843707725,8606.26561109251,30191.0122530176,1284.95156673222,127469.323065559,43468.3448449415,3886.50516016918,89760.4666299851,168981.579993235,84000.9782206175,136968.436317468,136968.436317468
2005-09-30,000,N,7594.01772897569,510.375688091282,48497.2841715005,5323.71705267975,10982.8143895028,22126.2084901185,10182.5086327423,31313.4765795602,26350.7060580206,7410.65067945461,4752.31112218219,8428.30494543981,39531.3221256426,73844.8259359732,216523.087929907,1107.37412403824,-1252.88047392112,113376.148061616,103146.939868291,5449.84485536949,18103.3376650505,8534.91146296916,32088.0939833892,1088.68281108926,130370.939985269,43042.5509251868,3511.22879954425,99635.7110687468,173480.53700472,87328.3890600822,131517.543761542,131517.543761542
2005-12-31,000,N,7810.48578147096,388.238028225692,39941.5327915632,4643.63211000332,10939.7721304251,22181.3390413941,10516.9735650292,31837.0404213101,26648.798486936,7532.61722754488,4982.06289309698,8402.95461807866,40033.8159981116,78868.3677205088,221242.860216807,1112.55211465733,-1396.70423054974,118902.18371862,102340.676498186,5909.22808911928,15304.0109541684,8427.88024078413,29641.1192840718,794.279677624833,130954.663786348,43253.952682547,3220.13668443542,99120.5398137506,177988.90753426,87700.711103801,137333.728977454,137333.728977454
2006-03-31,000,N,7689.98841168883,449.074908570944,39667.5687472896,5194.35818585525,10952.3588169806,22453.2799564499,10363.8951912081,32848.5184044795,26880.7441629469,6629.77459957314,5113.20749059623,8369.15418159713,40363.1058351403,78221.2882806922,219304.412433126,1103.45266494252,-1353.07963734459,118584.394115832,100720.018317293,6102.8586788923,14953.5480181342,8285.17194453743,29341.5786415639,401.742166338928,130066.69426896,43350.3946681513,2987.28883301102,97732.729484282,175954.017764975,86716.2996008087,136837.725654898,136837.725654899
2006-06-30,000,N,7274.56864734121,443.730055161206,35395.1620919427,5085.14512680691,11771.2887380489,23466.8463358321,9954.78274785553,33233.4782393181,27508.2213877679,6748.92802109261,5248.03351632861,8348.48233436567,41104.7372384622,78556.3801661163,223547.671942926,1142.58859050469,-1223.19923987252,119661.117404578,103886.554538348,6089.09189026135,13719.116324362,8321.91984822378,28130.1280628471,141.130295288995,127596.789214785,44017.2275478757,2912.49030941352,100974.064228934,179530.44439505,83579.5616669093,137253.588205569,137253.588205568
2006-09-30,000,N,7399.34325866537,313.459680790077,40771.4594229274,3863.30978635711,12137.257783128,24005.6803881879,10466.8777366098,33581.6655385372,27833.652902121,6866.23864047535,5273.60144827685,8340.93907638427,41448.1934267821,72657.618939242,217507.852660709,1140.40914177608,-967.830807735653,114105.812366024,103402.040294685,5929.58528055448,13460.473111397,8538.12395184317,27928.1823437946,12.4440644750333,129557.171999371,44412.9146224383,2964.72119565622,100437.319099029,173094.938038271,85144.2573769327,132458.07137613,132458.07137613
2006-12-31,000,N,7541.0996823045,385.735355477772,39626.8097378405,4508.18690098069,12795.0946618421,24572.1933195307,10557.4443243266,33314.337817665,28640.3815471641,6950.05873885894,5367.15754479836,8346.52440765294,42354.0634996154,90809.6126139495,228619.062963241,1232.54960277553,-786.890315048495,133163.676113565,95455.3868496762,5718.46415029332,12347.8625461074,8933.78425539562,27000.1109517964,15.6834738970438,148419.344516879,45565.4631615346,3211.39966191923,92243.987187757,183053.599801706,102853.881355344,152093.614763401,152093.614763401
2007-03-31,000,N,7456.53003086505,492.643330440154,38923.8477585006,4281.81888582426,13685.5714200662,25842.6983604648,10206.8049616523,33661.5489120227,28853.6802193466,6997.77560687368,4999.51506423444,8365.23832817167,42218.4336117527,83935.1972565842,226704.183823371,1250.00802649802,-641.323427014543,126153.630868337,100550.552955034,5451.22093245431,13510.5357987391,9508.90075888111,28470.6574900745,150.848523555026,138781.689709426,45712.452972879,3494.01936112631,97056.5335939077,180991.730850492,93069.236736547,144918.293790778,144918.293790778
2007-06-30,000,N,7416.28321018915,277.640549393435,39128.8667566631,3726.61777495881,13563.8007151075,25665.5733718504,10658.6730089604,34392.5911075253,29051.4789226327,7145.12614316329,4907.18774270063,8346.14556511049,42304.8122304438,88215.2318590821,228739.277847862,1274.99610329925,-666.01920063081,130520.044089526,98219.2337583358,5239.8939782509,13722.9459510085,9663.98705672287,28626.8269859823,283.375133996209,143871.89196572,46136.6091513134,3831.79692086964,94387.4368374662,182602.668696549,97735.2828144066,149481.617760737,149481.617760738
